Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
rustls,EXP_DBL_1277,10,10.839998,10.825926,0.030423,77.400154,77.400154,0.000000,4291440.000000,4291440
rustls,EXP_DBL_1278,10,10.846755,10.821347,0.079442,77.124466,77.124466,0.000000,4293424.000000,4293424
rustls,EXP_DBL_1279,10,10.838905,10.815955,0.032882,78.219666,78.219666,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1280,10,10.847631,10.833721,0.058071,77.480446,77.480446,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1281,10,10.860147,10.827161,0.096245,78.156824,78.156824,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1282,10,10.832279,10.804638,0.024322,76.436709,76.436709,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1283,10,10.843931,10.818586,0.020617,77.809423,77.809423,0.000000,4293456.000000,4293456
rustls,EXP_DBL_1284,10,10.841059,10.824448,0.031208,77.961302,77.961302,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1285,10,10.838943,10.814048,0.039671,76.524357,76.524357,0.000000,4292944.000000,4292944
rustls,EXP_DBL_1286,10,10.832961,10.824582,0.038787,76.424063,76.424063,0.000000,4294576.000000,4294576
rustls,EXP_DBL_1287,10,10.837442,10.812647,0.015360,77.465421,77.465421,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1288,10,10.835818,10.819489,0.032037,76.641828,76.641828,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1289,10,10.841461,10.821080,0.023047,76.973121,76.973121,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1290,10,10.838043,10.800576,0.041991,77.528600,77.528600,0.000000,4296976.000000,4296976
rustls,EXP_DBL_1291,10,10.837384,10.820293,0.034195,77.089821,77.089821,0.000000,4293520.000000,4293520
rustls,EXP_DBL_1292,10,10.845445,10.817494,0.032495,76.294949,76.294949,0.000000,4292720.000000,4292720
