Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_1316,10,10.969577,0.266116,0.024259,7.166254,0.000000,0.000000,417488
B,EXP_DBL_1091,10,16.693141,0.396824,0.023772,7.510964,0.000000,0.000000,417616
B,EXP_DBL_1422,10,17.799040,0.422913,0.023760,7.452466,0.000000,0.000000,417488
B,EXP_DBL_1415,10,17.717377,0.417370,0.023557,7.988679,0.000000,0.000000,417488
B,EXP_DBL_1428,10,17.899473,0.412465,0.023043,7.368042,0.000000,0.000000,409520
B,EXP_DBL_1408,10,18.249398,0.416792,0.022839,7.426331,0.000000,0.000000,426000
B,EXP_DBL_1426,10,17.440344,0.381024,0.021847,7.136817,0.000000,0.000000,417504
B,EXP_DBL_1401,10,17.631561,0.384053,0.021782,8.122413,0.000000,0.000000,417488
B,EXP_DBL_1399,10,17.815632,0.385847,0.021658,7.998463,0.000000,0.000000,417488
B,EXP_DBL_1391,10,18.134954,0.388674,0.021432,7.530791,0.000000,0.000000,417488
B,EXP_DBL_1387,10,17.552374,0.366112,0.020858,7.608611,0.000000,0.000000,417488
A,EXP_DBL_1091,10,11.665049,0.243230,0.020851,7.510964,0.000000,0.000000,417616
B,EXP_DBL_1425,10,17.389112,0.351742,0.020228,7.539229,0.000000,0.000000,415008
B,EXP_DBL_1423,10,17.991679,0.356689,0.019825,7.895971,0.000000,0.000000,417488
A,EXP_DBL_1425,10,13.648445,0.262942,0.019265,7.539229,0.000000,0.000000,415008
B,EXP_DBL_1427,10,17.865661,0.332500,0.018611,7.670286,0.000000,0.000000,417488
B,EXP_DBL_1313,10,16.569710,0.298559,0.018018,7.668105,0.000000,0.000000,417488
B,EXP_DBL_1386,10,17.778671,0.309501,0.017409,7.225043,0.000000,0.000000,417488
A,EXP_DBL_1626,10,10.901884,0.188890,0.017326,7.339646,0.000000,0.000000,417488
A,EXP_DBL_1403,10,12.729304,0.219114,0.017213,7.781103,0.000000,0.000000,417488
B,EXP_DBL_1393,10,17.657102,0.295936,0.016760,7.893970,0.000000,0.000000,417488
B,EXP_DBL_1089,10,16.342653,0.273765,0.016752,7.308569,0.000000,0.000000,417616
B,EXP_DBL_1429,10,17.480218,0.290071,0.016594,7.252513,0.000000,0.000000,419232
B,EXP_DBL_1412,10,18.156702,0.300490,0.016550,8.055891,0.000000,0.000000,417488
A,EXP_DBL_1092,10,13.300615,0.215115,0.016173,6.888994,0.000000,0.000000,416240
B,EXP_DBL_1314,10,16.837695,0.269514,0.016007,7.817183,0.000000,0.000000,417488
B,EXP_DBL_1394,10,17.878129,0.281114,0.015724,8.236502,0.000000,0.000000,417488
B,EXP_DBL_1406,10,17.836197,0.266317,0.014931,8.265838,0.000000,0.000000,417488
A,EXP_DBL_1633,10,10.992366,0.156917,0.014275,7.275046,0.000000,0.000000,417488
A,EXP_DBL_1102,10,11.299408,0.158180,0.013999,7.302341,0.000000,0.000000,417392
A,EXP_DBL_0712,10,11.026402,0.153607,0.013931,7.236122,0.000000,0.000000,417488
A,EXP_DBL_1148,10,11.295478,0.157329,0.013928,7.259341,0.000000,0.000000,417616
A,EXP_DBL_1436,10,10.899496,0.147981,0.013577,6.981491,0.000000,0.000000,417488
