Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,ns_iqr_ratio,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
tokio,EXP_DBL_0151,10,10.143065,10.033936,0.104629,878.908000,874.945000,7.312500,0.008358,,,,59.757734,59.757734,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0757,10,10.182468,10.064314,0.124270,885.292000,884.050000,7.382500,0.008351,,,,58.593832,58.593832,0.000000,0.000000,4037944.000000,4037944
tokio,EXP_DBL_0928,10,10.249612,10.246924,0.079181,894.865000,890.570000,7.432500,0.008346,,,,62.006954,62.006954,0.000000,0.000000,4046360.000000,4046360
tokio,EXP_DBL_0448,10,10.075385,10.054913,0.053791,874.719000,873.355000,7.282500,0.008339,,,,58.685914,58.685914,0.000000,0.000000,4041728.000000,4041728
tokio,EXP_DBL_1139,10,10.066637,10.050776,0.053061,882.491000,872.370000,7.272500,0.008336,,,,59.512071,59.512071,0.000000,0.000000,4047664.000000,4047664
tokio,EXP_DBL_1151,10,10.244459,10.139881,0.074983,890.541000,890.575000,7.422500,0.008335,,,,59.248007,59.248007,0.000000,0.000000,4076608.000000,4076608
tokio,EXP_ABL_046_disable-machine-dce,10,10.074816,10.065655,0.058350,883.863000,875.780000,7.295000,0.008330,,,,59.630608,59.630608,0.000000,0.000000,4041944.000000,4041944
tokio,EXP_DBL_0659,10,10.011607,10.005486,0.040096,875.741000,876.050000,7.287500,0.008319,,,,59.637116,59.637116,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0212,10,10.102842,10.083838,0.036784,892.264000,883.160000,7.335000,0.008305,,,,58.492155,58.492155,0.000000,0.000000,4042168.000000,4042168
tokio,EXP_DBL_0521,10,10.047333,10.043045,0.016656,880.283000,878.960000,7.290000,0.008294,,,,58.974130,58.974130,0.000000,0.000000,4040744.000000,4040744
tokio,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,10.260356,10.264492,0.060525,877.498000,876.415000,7.260000,0.008284,,,,61.734054,61.734054,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_1617,10,10.065939,10.049162,0.070063,878.401000,876.845000,7.262500,0.008283,,,,60.388154,60.388154,0.000000,0.000000,4040504.000000,4040504
tokio,EXP_DBL_1643,10,10.102740,10.100368,0.075069,881.017000,878.155000,7.262500,0.008270,,,,61.502975,61.502975,0.000000,0.000000,4041368.000000,4041368
